Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Segment,Cluster,Cluster_Label
12403,50,2,1007.16,4,2,3,2.95,423,Recent Customers,3,Lost / Inactive
12404,682,1,14.95,1,1,1,1.0,111,Lost,0,VIP Customers
12405,149,1,1509.99,3,1,4,2.65,314,Hibernating,1,Loyal Customers
12406,22,5,6268.84,4,4,5,4.35,445,Champions,2,At Risk
12407,50,5,1664.59,4,4,4,4.0,444,Champions,1,Loyal Customers
12408,33,8,4259.32,4,4,5,4.35,445,Champions,2,At Risk
12409,79,7,23277.05,3,4,5,4.05,345,Loyal Customers,2,At Risk
12410,309,3,863.41,2,3,3,2.7,233,At Risk,1,Loyal Customers
12411,410,1,346.9,2,1,2,1.65,212,Hibernating,0,VIP Customers
12412,75,6,2572.98,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12413,67,4,946.15,3,3,3,3.0,333,Loyal Customers,1,Loyal Customers
12414,217,6,630.75,2,4,3,3.05,243,At Risk,1,Loyal Customers
12415,24,28,123261.71,4,5,5,4.7,455,Champions,2,At Risk
12416,657,1,202.56,1,1,1,1.0,111,Lost,0,VIP Customers
12417,3,20,6659.36,5,5,5,5.0,555,Champions,2,At Risk
12418,113,4,2023.7,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12419,386,2,453.21,2,2,2,2.0,222,Need Attention,0,VIP Customers
12420,64,1,612.71,3,1,3,2.3,313,Hibernating,3,Lost / Inactive
12421,16,6,992.2,5,4,3,3.95,543,Loyal Customers,3,Lost / Inactive
12422,96,17,3872.78,3,5,5,4.4,355,Loyal Customers,2,At Risk
12423,1,10,2611.34,5,5,4,4.65,554,Champions,2,At Risk
12424,163,4,3340.03,3,3,5,3.7,335,Loyal Customers,1,Loyal Customers
12425,78,2,1745.01,3,2,4,3.0,324,Potential Loyalists,1,Loyal Customers
12426,195,2,1323.56,2,2,4,2.7,224,Need Attention,1,Loyal Customers
12427,22,3,785.73,4,3,3,3.3,433,Loyal Customers,3,Lost / Inactive
12428,26,9,6815.47,4,5,5,4.7,455,Champions,2,At Risk
12429,9,8,6126.46,5,4,5,4.65,545,Champions,2,At Risk
12430,43,1,231.35,4,1,1,1.9,411,Recent Customers,3,Lost / Inactive
12431,36,27,9876.64,4,5,5,4.7,455,Champions,2,At Risk
12432,43,5,4194.17,4,4,5,4.35,445,Champions,1,Loyal Customers
12433,1,10,16813.86,5,5,5,5.0,555,Champions,2,At Risk
12434,85,3,1103.43,3,3,3,3.0,333,Loyal Customers,1,Loyal Customers
12435,80,6,13118.57,3,4,5,4.05,345,Loyal Customers,2,At Risk
12436,100,1,458.91,3,1,2,1.95,312,Hibernating,0,VIP Customers
12437,2,39,12476.18,5,5,5,5.0,555,Champions,2,At Risk
12438,14,2,2645.2200000000003,5,2,4,3.6,524,Recent Customers,3,Lost / Inactive
12439,683,2,1142.88,1,2,3,2.05,123,Need Attention,1,Loyal Customers
12440,462,2,784.05,1,2,3,2.05,123,Need Attention,0,VIP Customers
12441,367,1,170.5,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12442,3,1,159.01,5,1,1,2.2,511,Recent Customers,3,Lost / Inactive
12443,732,1,410.16,1,1,2,1.35,112,Lost,0,VIP Customers
12444,21,5,4335.31,4,4,5,4.35,445,Champions,2,At Risk
12445,22,2,408.88,4,2,2,2.6,422,Recent Customers,3,Lost / Inactive
12446,58,1,1002.31,4,1,3,2.6,413,Recent Customers,3,Lost / Inactive
12447,243,1,476.34,2,1,2,1.65,212,Hibernating,0,VIP Customers
12448,44,1,362.65,4,1,2,2.25,412,Recent Customers,3,Lost / Inactive
12449,22,6,4800.78,4,4,5,4.35,445,Champions,2,At Risk
12450,156,5,688.2,3,4,3,3.35,343,Loyal Customers,1,Loyal Customers
12451,11,8,12681.39,5,4,5,4.65,545,Champions,2,At Risk
12452,17,2,380.47,5,2,2,2.9000000000000004,522,Recent Customers,3,Lost / Inactive
12453,134,1,707.09,3,1,3,2.3,313,Hibernating,0,VIP Customers
12454,56,5,10457.53,4,4,5,4.35,445,Champions,2,At Risk
12455,73,10,5698.4,3,5,5,4.4,355,Loyal Customers,2,At Risk
12456,44,3,2807.69,4,3,5,4.0,435,Loyal Customers,1,Loyal Customers
12457,66,8,2704.36,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12458,71,4,1615.3,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12459,605,1,428.26,1,1,2,1.35,112,Lost,0,VIP Customers
12460,456,1,326.55,1,1,2,1.35,112,Lost,0,VIP Customers
12461,94,2,704.03,3,2,3,2.6499999999999995,323,Potential Loyalists,1,Loyal Customers
12462,19,2,1072.14,5,2,3,3.25,523,Recent Customers,3,Lost / Inactive
12463,53,4,1320.38,4,3,4,3.65,434,Loyal Customers,1,Loyal Customers
12464,10,8,1199.2,5,4,4,4.3,544,Champions,3,Lost / Inactive
12465,17,2,741.99,5,2,3,3.25,523,Recent Customers,3,Lost / Inactive
12466,682,1,14.95,1,1,1,1.0,111,Lost,0,VIP Customers
12467,423,1,132.8,1,1,1,1.0,111,Lost,0,VIP Customers
12468,188,5,3599.78,3,4,5,4.05,345,Loyal Customers,1,Loyal Customers
12469,523,2,2629.9,1,2,4,2.4,124,Need Attention,1,Loyal Customers
12470,690,1,210.95,1,1,1,1.0,111,Lost,0,VIP Customers
12471,2,79,38701.3,5,5,5,5.0,555,Champions,2,At Risk
12472,32,19,16013.82,4,5,5,4.7,455,Champions,2,At Risk
12473,29,5,2911.79,4,4,5,4.35,445,Champions,3,Lost / Inactive
12474,17,31,12159.75,5,5,5,5.0,555,Champions,2,At Risk
12475,54,2,1165.39,4,2,3,2.95,423,Recent Customers,3,Lost / Inactive
12476,16,23,13738.01,5,5,5,5.0,555,Champions,2,At Risk
12477,23,9,20273.97,4,5,5,4.7,455,Champions,2,At Risk
12478,4,1,590.84,5,1,3,2.9,513,Recent Customers,3,Lost / Inactive
12479,11,1,520.45,5,1,2,2.55,512,Recent Customers,3,Lost / Inactive
12480,28,7,5116.29,4,4,5,4.35,445,Champions,2,At Risk
12481,23,15,11752.71,4,5,5,4.7,455,Champions,2,At Risk
12482,576,29,19447.86,1,5,5,3.8,155,At Risk,2,At Risk
12483,17,19,4507.53,5,5,5,5.0,555,Champions,2,At Risk
12484,33,12,5993.05,4,5,5,4.7,455,Champions,2,At Risk
12485,529,1,710.5,1,1,3,1.6999999999999995,113,Hibernating,0,VIP Customers
12486,432,1,958.13,1,1,3,1.6999999999999995,113,Hibernating,0,VIP Customers
12487,731,1,285.3,1,1,2,1.35,112,Lost,0,VIP Customers
12488,10,3,1271.91,5,3,4,3.95,534,Loyal Customers,3,Lost / Inactive
12489,336,1,326.83,2,1,2,1.65,212,Hibernating,0,VIP Customers
12490,5,21,9578.39,5,5,5,5.0,555,Champions,2,At Risk
12491,39,1,454.3,4,1,2,2.25,412,Recent Customers,3,Lost / Inactive
12492,63,3,696.91,3,3,3,3.0,333,Loyal Customers,3,Lost / Inactive
12493,166,2,422.59,3,2,2,2.3,322,Potential Loyalists,0,VIP Customers
12494,16,9,1772.57,5,5,4,4.65,554,Champions,2,At Risk
12495,641,1,307.3,1,1,2,1.35,112,Lost,0,VIP Customers
12496,620,2,45.34,1,2,1,1.35,121,Lost,0,VIP Customers
12497,82,3,5321.4800000000005,3,3,5,3.7,335,Loyal Customers,1,Loyal Customers
12498,21,3,394.55,4,3,2,2.95,432,Potential Loyalists,3,Lost / Inactive
12499,560,1,387.62,1,1,2,1.35,112,Lost,0,VIP Customers
12500,23,19,5730.87,4,5,5,4.7,455,Champions,2,At Risk
12501,337,1,2165.07,2,1,4,2.35,214,Hibernating,1,Loyal Customers
12502,96,5,3368.57,3,4,5,4.05,345,Loyal Customers,1,Loyal Customers
12503,584,1,245.35,1,1,1,1.0,111,Lost,0,VIP Customers
12504,18,4,763.8,5,3,3,3.6,533,Loyal Customers,3,Lost / Inactive
12505,409,1,872.9,2,1,3,2.0,213,Hibernating,0,VIP Customers
12506,233,1,73.5,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12507,134,4,1687.46,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12508,26,2,398.88,4,2,2,2.6,422,Recent Customers,3,Lost / Inactive
12509,284,1,173.45,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12510,143,9,3542.83,3,5,5,4.4,355,Loyal Customers,1,Loyal Customers
12511,429,1,3083.5,1,1,5,2.4,115,Hibernating,1,Loyal Customers
12512,66,2,132.18,3,2,1,1.95,321,Hibernating,0,VIP Customers
12513,113,1,603.14,3,1,3,2.3,313,Hibernating,0,VIP Customers
12514,267,2,1597.76,2,2,4,2.7,224,Need Attention,1,Loyal Customers
12515,353,1,323.55,2,1,2,1.65,212,Hibernating,0,VIP Customers
12516,78,4,2587.62,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12517,28,5,2451.1,4,4,4,4.0,444,Champions,3,Lost / Inactive
12518,1,5,2020.29,5,4,4,4.3,544,Champions,3,Lost / Inactive
12519,64,2,701.29,3,2,3,2.6499999999999995,323,Potential Loyalists,3,Lost / Inactive
12520,79,5,2583.46,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12521,143,1,590.53,3,1,3,2.3,313,Hibernating,0,VIP Customers
12522,39,2,211.62,4,2,1,2.25,421,Recent Customers,3,Lost / Inactive
12523,19,23,4282.35,5,5,5,5.0,555,Champions,2,At Risk
12524,9,17,10810.21,5,5,5,5.0,555,Champions,2,At Risk
12525,498,3,958.48,1,3,3,2.3999999999999995,133,At Risk,1,Loyal Customers
12526,1,3,1292.26,5,3,4,3.95,534,Loyal Customers,3,Lost / Inactive
12527,82,5,732.46,3,4,3,3.35,343,Loyal Customers,1,Loyal Customers
12528,9,6,1882.68,5,4,4,4.3,544,Champions,3,Lost / Inactive
12529,528,1,316.48,1,1,2,1.35,112,Lost,0,VIP Customers
12530,60,9,3617.61,3,5,5,4.4,355,Loyal Customers,2,At Risk
12531,15,2,1890.75,5,2,4,3.6,524,Recent Customers,3,Lost / Inactive
12532,30,1,343.73,4,1,2,2.25,412,Recent Customers,3,Lost / Inactive
12533,628,2,1343.49,1,2,4,2.4,124,Need Attention,1,Loyal Customers
12534,131,1,1066.88,3,1,3,2.3,313,Hibernating,0,VIP Customers
12535,92,2,716.35,3,2,3,2.6499999999999995,323,Potential Loyalists,3,Lost / Inactive
12536,43,3,4299.21,4,3,5,4.0,435,Loyal Customers,1,Loyal Customers
12537,409,1,657.79,2,1,3,2.0,213,Hibernating,0,VIP Customers
12538,29,2,640.45,4,2,3,2.95,423,Recent Customers,3,Lost / Inactive
12539,22,7,11187.7,4,4,5,4.35,445,Champions,2,At Risk
12540,20,33,20796.65,4,5,5,4.7,455,Champions,2,At Risk
12541,30,3,915.93,4,3,3,3.3,433,Loyal Customers,3,Lost / Inactive
12542,484,2,481.88,1,2,2,1.7,122,Need Attention,0,VIP Customers
12543,448,1,915.0,1,1,3,1.6999999999999995,113,Hibernating,0,VIP Customers
12544,36,1,346.6,4,1,2,2.25,412,Recent Customers,3,Lost / Inactive
12545,75,2,922.09,3,2,3,2.6499999999999995,323,Potential Loyalists,3,Lost / Inactive
12546,47,2,1112.57,4,2,3,2.95,423,Recent Customers,3,Lost / Inactive
12547,198,3,344.43,2,3,2,2.35,232,Need Attention,0,VIP Customers
12548,166,1,82.14999999999999,3,1,1,1.6,311,Promising,0,VIP Customers
12549,576,6,1424.48,1,4,4,3.1,144,At Risk,1,Loyal Customers
12550,79,1,901.98,3,1,3,2.3,313,Hibernating,3,Lost / Inactive
12551,358,1,168.0,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12552,39,2,362.67,4,2,2,2.6,422,Recent Customers,3,Lost / Inactive
12553,8,12,4493.35,5,5,5,5.0,555,Champions,2,At Risk
12554,449,1,429.35,1,1,2,1.35,112,Lost,0,VIP Customers
12555,682,1,14.95,1,1,1,1.0,111,Lost,0,VIP Customers
12556,50,2,599.56,4,2,3,2.95,423,Recent Customers,3,Lost / Inactive
12557,16,8,12089.88,5,4,5,4.65,545,Champions,2,At Risk
12558,8,1,269.96,5,1,1,2.2,511,Recent Customers,3,Lost / Inactive
12559,311,2,555.61,2,2,2,2.0,222,Need Attention,0,VIP Customers
12560,5,3,2095.41,5,3,4,3.95,534,Loyal Customers,3,Lost / Inactive
12561,303,1,238.85,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12562,8,9,4859.42,5,5,5,5.0,555,Champions,2,At Risk
12563,409,1,236.19,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12564,261,1,441.75,2,1,2,1.65,212,Hibernating,0,VIP Customers
12565,289,1,145.92000000000002,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12566,86,1,342.5,3,1,2,1.95,312,Hibernating,0,VIP Customers
12567,23,15,11409.63,4,5,5,4.7,455,Champions,2,At Risk
12568,645,1,66.95,1,1,1,1.0,111,Lost,0,VIP Customers
12569,2,32,3959.99,5,5,5,5.0,555,Champions,2,At Risk
12570,682,1,14.95,1,1,1,1.0,111,Lost,0,VIP Customers
12571,40,2,523.21,4,2,2,2.6,422,Recent Customers,3,Lost / Inactive
12572,9,2,1002.87,5,2,3,3.25,523,Recent Customers,3,Lost / Inactive
12573,227,5,719.33,2,4,3,3.05,243,At Risk,1,Loyal Customers
12574,316,1,212.35,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12575,457,2,613.67,1,2,3,2.05,123,Need Attention,0,VIP Customers
12576,36,8,2075.62,4,4,4,4.0,444,Champions,2,At Risk
12577,35,8,1622.6,4,4,4,4.0,444,Champions,1,Loyal Customers
12578,21,4,4243.03,4,3,5,4.0,435,Loyal Customers,3,Lost / Inactive
12579,78,1,431.27,3,1,2,1.95,312,Hibernating,0,VIP Customers
12580,247,2,1040.05,2,2,3,2.35,223,Need Attention,1,Loyal Customers
12581,40,1,194.66,4,1,1,1.9,411,Recent Customers,3,Lost / Inactive
12582,239,4,1880.2,2,3,4,3.05,234,At Risk,1,Loyal Customers
12583,3,27,13445.77,5,5,5,5.0,555,Champions,2,At Risk
12584,4,9,2273.0,5,5,4,4.65,554,Champions,2,At Risk
12585,234,2,1966.94,2,2,4,2.7,224,Need Attention,1,Loyal Customers
12586,17,4,2059.75,5,3,4,3.95,534,Loyal Customers,3,Lost / Inactive
12587,8,1,118.95,5,1,1,2.2,511,Recent Customers,3,Lost / Inactive
12588,39,4,808.48,4,3,3,3.3,433,Loyal Customers,3,Lost / Inactive
12589,29,8,3594.91,4,4,5,4.35,445,Champions,2,At Risk
12590,211,2,9059.81,2,2,5,3.05,225,Need Attention,1,Loyal Customers
12591,317,3,1232.55,2,3,4,3.05,234,At Risk,1,Loyal Customers
12592,92,5,1858.19,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12593,109,3,412.0,3,3,2,2.6499999999999995,332,Potential Loyalists,1,Loyal Customers
12594,38,15,4994.76,4,5,5,4.7,455,Champions,2,At Risk
12595,505,1,295.97,1,1,2,1.35,112,Lost,0,VIP Customers
12596,51,2,543.5699999999999,4,2,2,2.6,422,Recent Customers,3,Lost / Inactive
12597,19,4,3529.38,5,3,5,4.3,535,Loyal Customers,3,Lost / Inactive
12598,10,11,4494.14,5,5,5,5.0,555,Champions,2,At Risk
12599,29,13,2254.81,4,5,4,4.35,454,Champions,2,At Risk
12600,29,21,4873.42,4,5,5,4.7,455,Champions,2,At Risk
12601,190,6,636.96,2,4,3,3.05,243,At Risk,1,Loyal Customers
12602,59,1,153.12,4,1,1,1.9,411,Recent Customers,0,VIP Customers
12603,22,1,717.8499999999999,4,1,3,2.6,413,Recent Customers,3,Lost / Inactive
12604,79,2,251.13,3,2,1,1.95,321,Hibernating,0,VIP Customers
12605,376,4,1216.65,2,3,4,3.05,234,At Risk,1,Loyal Customers
12606,682,1,14.95,1,1,1,1.0,111,Lost,0,VIP Customers
12607,60,1,1577.51,3,1,4,2.65,314,Hibernating,3,Lost / Inactive
12608,405,1,415.79,2,1,2,1.65,212,Hibernating,0,VIP Customers
12609,78,9,3368.11,3,5,5,4.4,355,Loyal Customers,1,Loyal Customers
12610,23,5,1889.04,4,4,4,4.0,444,Champions,3,Lost / Inactive
12611,52,1,1153.0,4,1,3,2.6,413,Recent Customers,3,Lost / Inactive
12612,74,1,697.94,3,1,3,2.3,313,Hibernating,3,Lost / Inactive
12613,57,10,6674.35,4,5,5,4.7,455,Champions,2,At Risk
12614,278,1,315.6,2,1,2,1.65,212,Hibernating,0,VIP Customers
12615,2,8,5662.93,5,4,5,4.65,545,Champions,2,At Risk
12616,95,3,1112.8,3,3,3,3.0,333,Loyal Customers,1,Loyal Customers
12617,29,1,352.98,4,1,2,2.25,412,Recent Customers,3,Lost / Inactive
12618,22,1,152.26,4,1,1,1.9,411,Recent Customers,3,Lost / Inactive
12619,16,10,3307.76,5,5,5,5.0,555,Champions,2,At Risk
12620,15,3,1337.95,5,3,4,3.95,534,Loyal Customers,3,Lost / Inactive
12621,2,35,23281.93,5,5,5,5.0,555,Champions,2,At Risk
12622,232,1,177.05,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12623,276,7,3674.64,2,4,5,3.75,245,At Risk,1,Loyal Customers
12624,106,2,628.9300000000001,3,2,3,2.6499999999999995,323,Potential Loyalists,1,Loyal Customers
12625,212,4,5074.53,2,3,5,3.4,235,At Risk,1,Loyal Customers
12626,23,9,6507.63,4,5,5,4.7,455,Champions,2,At Risk
12627,11,7,4471.07,5,4,5,4.65,545,Champions,2,At Risk
12628,4,3,777.3100000000001,5,3,3,3.6,533,Loyal Customers,3,Lost / Inactive
12629,386,2,1324.77,2,2,4,2.7,224,Need Attention,1,Loyal Customers
12630,10,2,1118.58,5,2,3,3.25,523,Recent Customers,3,Lost / Inactive
12631,57,6,3381.37,4,4,5,4.35,445,Champions,1,Loyal Customers
12632,521,2,812.39,1,2,3,2.05,123,Need Attention,0,VIP Customers
12633,59,7,5518.2300000000005,4,4,5,4.35,445,Champions,2,At Risk
12634,536,2,374.95,1,2,2,1.7,122,Need Attention,0,VIP Customers
12635,90,4,2914.12,3,3,5,3.7,335,Loyal Customers,1,Loyal Customers
12636,739,1,14.95,1,1,1,1.0,111,Lost,0,VIP Customers
12637,67,12,8178.14,3,5,5,4.4,355,Loyal Customers,2,At Risk
12638,33,2,771.1899999999999,4,2,3,2.95,423,Recent Customers,3,Lost / Inactive
12639,239,3,1162.07,2,3,3,2.7,233,At Risk,1,Loyal Customers
12640,24,3,1140.08,4,3,3,3.3,433,Loyal Customers,3,Lost / Inactive
12641,115,1,160.85,3,1,1,1.6,311,Promising,0,VIP Customers
12642,25,3,992.96,4,3,3,3.3,433,Loyal Customers,3,Lost / Inactive
12643,128,12,6787.05,3,5,5,4.4,355,Loyal Customers,2,At Risk
12644,130,4,1913.44,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12645,34,8,3484.4,4,4,5,4.35,445,Champions,2,At Risk
12646,5,2,1346.97,5,2,4,3.6,524,Recent Customers,3,Lost / Inactive
12647,22,36,15925.85,4,5,5,4.7,455,Champions,2,At Risk
12648,155,4,1099.8,3,3,3,3.0,333,Loyal Customers,1,Loyal Customers
12649,107,8,2316.9,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12650,3,1,308.0,5,1,2,2.55,512,Recent Customers,3,Lost / Inactive
12651,335,4,377.75,2,3,2,2.35,232,Need Attention,0,VIP Customers
12652,331,2,997.6,2,2,3,2.35,223,Need Attention,1,Loyal Customers
12653,149,3,4160.83,3,3,5,3.7,335,Loyal Customers,1,Loyal Customers
12654,11,5,589.78,5,4,3,3.95,543,Loyal Customers,3,Lost / Inactive
12655,424,1,258.3,1,1,1,1.0,111,Lost,0,VIP Customers
12656,17,8,6281.93,5,4,5,4.65,545,Champions,2,At Risk
12657,11,4,1517.54,5,3,4,3.95,534,Loyal Customers,3,Lost / Inactive
12658,19,1,676.9,5,1,3,2.9,513,Recent Customers,3,Lost / Inactive
12659,30,1,88.63,4,1,1,1.9,411,Recent Customers,3,Lost / Inactive
12660,11,1,242.05,5,1,1,2.2,511,Recent Customers,3,Lost / Inactive
12661,436,1,162.0,1,1,1,1.0,111,Lost,0,VIP Customers
12662,1,20,6600.6900000000005,5,5,5,5.0,555,Champions,2,At Risk
12663,625,2,230.25,1,2,1,1.35,121,Lost,0,VIP Customers
12664,8,11,5704.09,5,5,5,5.0,555,Champions,2,At Risk
12665,325,3,304.45,2,3,2,2.35,232,Need Attention,0,VIP Customers
12666,394,1,1244.42,2,1,4,2.35,214,Hibernating,0,VIP Customers
12667,58,1,522.33,4,1,2,2.25,412,Recent Customers,3,Lost / Inactive
12668,12,10,11039.23,5,5,5,5.0,555,Champions,2,At Risk
12669,151,3,1593.06,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12670,10,7,3705.39,5,4,5,4.65,545,Champions,2,At Risk
12671,606,1,2582.45,1,1,4,2.05,114,Hibernating,1,Loyal Customers
12672,330,2,436.95,2,2,2,2.0,222,Need Attention,0,VIP Customers
12673,5,3,1217.17,5,3,4,3.95,534,Loyal Customers,3,Lost / Inactive
12674,39,4,1955.25,4,3,4,3.65,434,Loyal Customers,3,Lost / Inactive
12675,554,2,916.1,1,2,3,2.05,123,Need Attention,1,Loyal Customers
12676,25,11,2527.44,4,5,4,4.35,454,Champions,2,At Risk
12677,555,2,389.0,1,2,2,1.7,122,Need Attention,0,VIP Customers
12678,42,21,29954.18,4,5,5,4.7,455,Champions,2,At Risk
12679,59,4,1085.57,4,3,3,3.3,433,Loyal Customers,1,Loyal Customers
12680,1,4,865.56,5,3,3,3.6,533,Loyal Customers,3,Lost / Inactive
12681,15,45,29393.47,5,5,5,5.0,555,Champions,2,At Risk
12682,4,52,22447.15,5,5,5,5.0,555,Champions,2,At Risk
12683,4,21,11437.4,5,5,5,5.0,555,Champions,2,At Risk
12684,8,7,2255.43,5,4,4,4.3,544,Champions,2,At Risk
12685,28,6,2821.48,4,4,5,4.35,445,Champions,2,At Risk
12686,372,1,86.09,2,1,1,1.2999999999999998,211,Hibernating,0,VIP Customers
12687,481,2,1873.86,1,2,4,2.4,124,Need Attention,1,Loyal Customers
12688,114,1,4679.18,3,1,5,3.0,315,Hibernating,1,Loyal Customers
12689,26,2,1229.31,4,2,4,3.3,424,Recent Customers,3,Lost / Inactive
12690,206,1,379.86,2,1,2,1.65,212,Hibernating,0,VIP Customers
12691,28,7,1149.05,4,4,3,3.65,443,Loyal Customers,3,Lost / Inactive
12692,637,1,110.95,1,1,1,1.0,111,Lost,0,VIP Customers
12693,127,7,1654.22,3,4,4,3.7,344,Loyal Customers,1,Loyal Customers
12694,70,3,1815.25,3,3,4,3.35,334,Loyal Customers,1,Loyal Customers
12695,7,7,1372.42,5,4,4,4.3,544,Champions,3,Lost / Inactive
12696,435,2,776.76,1,2,3,2.05,123,Need Attention,0,VIP Customers
12697,29,3,832.34,4,3,3,3.3,433,Loyal Customers,3,Lost / Inactive
12698,590,1,330.6,1,1,2,1.35,112,Lost,0,VIP Customers
12699,418,1,621.91,1,1,3,1.6999999999999995,113,Hibernating,0,VIP Customers
